
                 PyRate - v3.0 - 20211129

          Bayesian estimation of origination,
           extinction and preservation rates
              from fossil occurrence data

                 pyrate.help@gmail.com



Module FastPyRateC was loaded.


 Artiodactyla_PyRate ['data/Artiodactyla_PyRate.py'] 


The analysis includes 1603 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

1603 taxa included in the analysis
583 taxa have a single occurrence, 54 taxa are extant
8799 fossil occurrences (40 replicates), ranging from 56.0 (+/- 0.0) to 0.03 (+/- 0.0) Ma

Taxon	FA	LA
Procobus_melania	9.9	7.6	
Procranioceras_skinneri	14.78	14.78	
Prodesmatochoerus_dunagani	42.78	37.39	
Prodesmatochoerus_lewisi	35.92	34.7	
Prodesmatochoerus_macrorhinus	39.83	33.9	
Prodesmatochoerus_natronensis	35.92	35.24	
Prodesmatochoerus_periculorum	34.7	31.4	
Prodremotherium_trepidum	27.82	27.82	
Progiraffa_exigua	29.552	16.4	
Proleptobos_birmanicus	11.2	7.246	
Prolibytherium_fusus	19.722	19.722	
Prolibytherium_magnieri	20.44	19.491	
Prominatherium_dalmatinum	37.39	37.39	
Pronodens_silberlingi	29.75	22.2	
Propotamochoerus_hyotheriodes	12.049	3.956	
Propotamochoerus_hysudricus	11.63	6.5	
Propotamochoerus_palaeochoerus	16.4	5.3	
Propotamochoerus_provincialis	7.6	3.55	
Propotamochoerus_wui	7.6	7.6	
Prosinotragus_tenuicornis	7.1	7.1	
Prosthennops_niobrarensis	14.78	12.11	
Prosthennops_serus	12.11	5.91	
Prosthennops_xiphidonticus	18.5	12.11	
Prostrepsiceros_axiosi	8.9	8.9	
Prostrepsiceros_elegans	11.2	9.426	
Prostrepsiceros_fraasi	7.6	7.6	
Prostrepsiceros_houtumschindleri	11.2	7.1	
Prostrepsiceros_rotundicornis	11.2	7.528	
Prostrepsiceros_vallesiensis	11.2	7.6	
Prostrepsiceros_vinayaki	11.63	7.6	
Prostrepsiceros_woodwardi	8.9	7.1	
Prostrepsiceros_zitteli	8.9	7.1	
Prosynthetoceras_francisi	14.78	14.78	
Prosynthetoceras_orthrionanus	22.2	22.2	
Prosynthetoceras_texanus	22.2	15.97	
Protoceras_celer	33.4	32.1	
Protoceras_neatodelpha	22.2	22.2	
Protoceras_skinneri	31.4	29.75	
Protolabis_barstowensis	15.97	14.78	
Protolabis_coartatus	12.57	12.11	
Protolabis_gracilis	14.78	14.78	
Protolabis_heterodontus	17.34	9.07	
Protolabis_inaequidens	14.78	14.78	
Protoreodon_annectens	42.78	39.83	
Protoreodon_minimus	42.78	35.24	
Protoreodon_pacificus	45.38	39.83	
Protoreodon_parvus	45.38	35.92	
Protoreodon_petersoni	42.78	42.78	
Protoreodon_tardus	42.78	42.78	
Protoreodon_transmontanus	39.83	39.83	
Protoreodon_walshi	45.38	42.78	
Protoryx_bohlini	8.9	8.9	
Protoryx_capricornis	7.6	7.6	
Protoryx_carolinae	8.9	7.6	
Protoryx_crassicornis	9.9	7.1	
Protoryx_enanus	14.2	12.85	
Protoryx_heinrichi	3.55	3.55	
Protoryx_laticeps	8.9	1.9	
Protoryx_paralaticeps	3	3	
Protoryx_solignaci	13.82	11.056	
Protoryx_tadzhikistanica	8.9	7.6	
Protovis_himalayensis	6.033	3.116	
Protragelaphus_skouzesi	9.9	7.528	
Protragelaphus_theodori	7.1	7.1	
Protragocerus_chantrei	12.85	9.786	
Protragocerus_gluten	13.82	11.63	
Protylopus_annectens	42.78	42.78	
Protylopus_pearsonensis	42.78	39.83	
Protylopus_petersoni	47.96	42.78	
Protylopus_robustus	45.38	42.78	
Protylopus_stocki	45.38	42.78	
Pseudalces_mirandus	5.3	5.3	
Pseudamphimeryx_pavloviae	40.12	37.39	
Pseudamphimeryx_renevieri	40.12	37.39	
Pseudaxis_grayi	1.296	1.296	
Pseudoblastomeryx_advena	22.2	18.5	
Pseudoceras_skinneri	12.11	7.59	
Pseudodama_farnetensis	3.55	1.862	
Pseudodama_lyra	3.55	2.23	
Pseudodama_nestii	3.55	1.31	
Pseudodama_rhenanus	2.5	2.5	
Pseudoeotragus_seegrabensis	16.4	14.2	
Pseudolabis_dakotensis	32.1	22.2	
Pseudoparablastomeryx_francescita	14.78	14.78	
Pseudoparablastomeryx_scotti	17.34	14.78	
Pseudoprotoceras_longinaris	35.92	34.7	
Pseudoprotoceras_semicinctus	37.39	35.24	
Pseudoprotoceras_taylori	35.24	35.24	
Pseudotragus_capricornis	11.2	7.528	
Pseudotragus_gentry	12.56	12.56	
Pseudotragus_parvidens	7.6	7.6	
Pumilovis_richwhitei	2.63	2.63	
Qurliqnoria_cheni	11.2	9.9	
Rabaticeras_arambourgi	2.5	0.95	
Rakomeryx_sinclairi	17.34	14.78	
Rakomylus_raki	15.97	15.97	
Ramoceros_brevicornis	14.78	14.78	
Ramoceros_marthae	14.78	12.11	
Ramoceros_osborni	14.78	12.11	
Ramoceros_palmatus	12.11	12.11	
Ramoceros_ramosus	15.97	12.11	
Rangifer_tarandus	0.774	0.035	extant
Raphicerus_campestris	1.8	1.8	extant
Raphicerus_paralius	5.333	5.156	
Redunca_ambae	5.2	5.2	
Redunca_arundinum	2.85	1.8	extant
Redunca_darti	7.1	5.333	
Redunca_eulmensis	2.5	2.5	
Redunca_khroumirensis	5	5	
Retroporcus_complutensis	16.4	16.4	
Rhagatherium_aegyptiacum	33.9	33.9	
Rhagatherium_valdense	35.1	35.1	
Robiacina_quercyi	37.39	37.39	
Rupicapra_pyrenaica	0.69	0.69	extant
Rupicapra_rupicapra	0.36	0.035	extant
Rusa_yunnanensis	1.81	1.185	
Saheloryx_solidus	7.1	7.1	
Samokeros_minotaurus	8.9	7.528	
Samotherium_africanum	12.85	7.246	
Samotherium_boissieri	8.9	7.1	
Samotherium_decipiens	7.1	7.1	
Samotherium_eminens	8.9	8.9	
Samotherium_irtyshense	11.63	7.1	
Samotherium_maeoticum	9.9	9.9	
Samotherium_major	8.9	7.1	
Samotherium_mongoliense	8.9	8.9	
Samotherium_neumayri	8.9	7.1	
Samotherium_pamiri	11.2	11.2	
Samotherium_sinense	7.2	7.1	
Samotragus_pilgrimi	12.85	12.85	
Samotragus_praecursor	9.9	9.426	
Sanitherium_africanus	21.7	15.97	
Sanitherium_jeffreysi	20.4	20.4	
Sanitherium_nadirum	23.03	14.2	
Sanitherium_schlagintweiti	17.2	14.895	
Sarcolemur_furcatus	48.64	48.64	
Schansitherium_tafelli	9.9	8.108	
Schizoporcus_anatoliensis	14.07	14.07	
Schizoporcus_muenzenbergensis	16.4	16.4	
Schizoporcus_sinapensis	12.85	12.85	
Schizoporcus_vallesiensis	11.2	9.647	
Selenoportax_lydekkeri	7.246	7.246	
Selenoportax_vexillarius	7.246	6.5	
Sespia_nitida	29.75	22.2	
Shaanxispira_baheensis	11.2	8.108	
Shaanxispira_chowi	11.63	8.254	
Siamotherium_pondaungensis	44.95	44.95	
Siamotragulus_bugtiensis	19.5	19.5	
Siamotragulus_haripounchai	16.4	16.4	
Siamotragulus_indicus	19.5	17.2	
Siamotragulus_sanyathanai	17.131	13.82	
Sihongotherium_sihongense	17.2	17.2	
Simatherium_demissum	7.246	4.17	
Simatherium_kohllarseni	5.333	3.4	
Simimeryx_heikeni	39.83	37.39	
Simimeryx_hudsoni	42.78	29.75	
Simimeryx_minutus	42.78	37.39	
Simpsonodus_chacensis	55.96	53.07	
Sinapodorcas_incarinatus	11.056	8.254	
Sinclairomeryx_riparius	17.34	17.34	
Sinocapra_minor	3.4	3.4	
Sinomegaceros_konwanlinensis	1.296	1.296	
Sinomegaceros_robustus	3.55	3.55	
Sinomegaceros_tadzhikistanis	3	3	
Sinopalaeoceros_xiejiaensis	22.8	12.5	
Sinoryx_bombifrons	8.9	8.9	
Sinotragus_occidentalis	7.6	7.6	
Sinotragus_wimani	5.767	5.767	
Sivachoerus_australis	7.246	5.3	
Sivachoerus_indicus	13.82	13.82	
Sivachoerus_pattersoni	5.333	2.4	
Sivachoerus_prior	11.2	7.246	
Sivachoerus_sindiensis	20.44	11.63	
Sivachoerus_syrticus	7.902	3.97	
Sivameryx_africanus	20.44	16.4	
Sivameryx_moneyi	19.491	17.2	
Sivameryx_palaeindicus	20.44	14.895	
Sivatherium_garevskii	8.9	8.9	
Sivatherium_giganteum	5.333	2.0	
Sivatherium_hendeyi	7.1	5.156	
Sivatherium_maurusium	5.333	0.95	
Sivoreas_eremita	12.85	11.63	
Skoufotragus_laticeps	8.9	7.1	
Skoufotragus_schlosseri	7.6	7.1	
Skoufotragus_zemalisorum	7.6	7.6	
Soergelia_elisabethae	0.774	0.774	
Soergelia_minor	1.9	1.9	
Sphenophalos_middleswarti	7.59	7.59	
Sphenophalos_nevadanus	9.07	5.91	
Spirocerus_wongi	2.5	1.296	
Sporadotragus_parvidens	7.6	7.1	
Stenomeryx_bahinensis	44.95	44.95	
Stenomylus_gracilis	19.09	19.09	
Stenomylus_hitchcocki	28.0	22.2	
Stenomylus_keelinensis	22.2	22.2	
Stenomylus_tubutamensis	17.34	17.34	
Stephanocemas_actauensis	17.2	17.2	
Stephanocemas_aralensis	19.5	17.2	
Stephanocemas_brevistephanos	11.2	11.2	
Stephanocemas_chinghaiensis	12.5	12.5	
Stephanocemas_palmatus	11.63	11.63	
Stephanocemas_rucha	16.4	13.363	
Stephanocemas_thomsoni	18.524	12.5	
Stibarus_montanus	37.39	35.24	
Stibarus_obtusilobus	35.92	33.9	
Stibarus_quadricuspis	34.7	33.9	
Stibarus_yoderensis	35.92	35.92	
Subantilocapra_garciae	5.91	5.91	
Subdromomeryx_antilopinus	22.2	15.97	
Submeryceros_crucianus	17.34	14.78	
Submeryceros_minimus	14.78	12.11	
Submeryceros_minor	17.34	14.78	
Sus_arvernensis	5.3	2.5	
Sus_australis	1.81	1.185	
Sus_barbatus	1.296	1.296	extant
Sus_bijiashanensis	1.296	1.296	
Sus_liuchengensis	1.81	1.81	
Sus_lydekkeri	1.81	0.712	
Sus_officinalis	1.81	1.81	
Sus_scrofa	1.81	0.035	extant
Sus_sondaari	5.3	3.55	
Sus_strozzii	3.55	1.8	
Sus_subtriquetra	3.4	3.4	
Sus_xiaozhu	1.81	0.106	
Syncerus_acoelotus	3.6	0.95	
Syncerus_caffer	1.33	1.33	extant
Syndyoceras_cooki	22.2	19.09	
Synthetoceras_davisorum	7.59	7.59	
Synthetoceras_tricornatus	12.11	7.59	
Tanymykter_brachyodontus	19.09	18.5	
Tapirulus_hyracinus	33.77	33.77	
Tapochoerus_egressus	42.78	42.78	
Tapochoerus_mcmillini	45.38	42.78	
Taucanamo_grandaevum	17.2	12.85	
Taucanamo_inonuensis	14.2	14.2	
Taucanamo_primum	17.2	16.225	
Taucanamo_sansaniense	17.2	12.85	
Taurotragus_arkelli	0.95	0.95	
Taurotragus_oryx	1.8	1.785	extant
Tayassu_endensis	5.91	5.91	
Tchadotragus_fanonei	5.3	5.3	
Tchadotragus_sudrei	7.1	7.1	
Tchaltacerus_longicornis	5	5	
Tethytragus_koehlerae	16.4	8.254	
Tethytragus_langai	14.2	12.85	
Tethytragus_stehlini	14.2	14.2	
Tetraconodon_intermedius	11.63	11.2	
Tetraconodon_magnus	11.63	11.2	
Tetraconodon_minor	16.4	8.108	
Tetraconodon_thailandicus	23.03	11.63	
Texoceros_altidens	9.07	6.88	
Texoceros_edensis	5.91	5.91	
Texoceros_guymonensis	7.59	6.88	
Texoceros_minorei	9.07	6.88	
Texoceros_vaughani	7.59	7.59	
Texodon_meridianus	42.78	42.78	
Thaleroceros_radiciformis	0.95	0.95	
Thaumastognathus_quercyi	40.12	40.12	
Thinohyus_lentus	31.4	31.4	
Thinohyus_siouxensis	19.09	19.09	
Ticholeptus_zygomaticus	18.5	14.78	
Titanotylopus_nebraskensis	4.91	2.63	
Toromeryx_marginensis	42.78	42.78	
Torticornis_ortokensis	7.6	7.6	
Tossunnoria_pseudibex	12.049	9.9	
Tragelaphus_angasi	5.333	3.6	
Tragelaphus_arkelli	0.95	0.95	
Tragelaphus_buxtoni	5.333	2.66	extant
Tragelaphus_gaudryi	5.333	1.8	
Tragelaphus_imberbis	3.4	1.042	extant
Tragelaphus_kyaloae	6.54	3.44	
Tragelaphus_lockwoodi	3.446	3.446	
Tragelaphus_moroitu	5.7	5.2	
Tragelaphus_nakuae	5.333	1.53	
Tragelaphus_nkondoensis	5.333	5.333	
Tragelaphus_pricei	5.333	2.5	
Tragelaphus_rastafari	3.6	3.6	
Tragelaphus_saraitu	3.6	3.6	
Tragelaphus_scriptus	3.97	1.33	extant
Tragelaphus_spekei	7.246	0.95	
Tragelaphus_strepsiceros	3.6	0.95	extant
Tragocerus_gregarius	7.2	7.2	
Tragocerus_laticornis	8.9	8.9	
Tragoportax_abyssinicus	5.7	5.2	
Tragoportax_afghanicus	7.6	7.6	
Tragoportax_amalthea	11.2	6.252	
Tragoportax_browni	7.246	7.246	
Tragoportax_csakvarensis	8.9	8.9	
Tragoportax_cyrenaicus	7.902	5.3	
Tragoportax_frolovi	9.9	7.6	
Tragoportax_leskewitschi	11.2	7.1	
Tragoportax_perimensis	11.63	7.246	
Tragoportax_punjabicus	7.6	7.1	
Tragoportax_rugosifrons	8.9	7.1	
Tragoportax_salmontanus	7.246	7.246	
Tragoportax_spectabilis	7.2	5.767	
Tragoportax_validus	7.6	7.6	
Tragoportax_ventiensis	6.252	6.252	
Tragoreas_lagrelii	7.1	7.1	
Tragoreas_oryxoides	11.2	5.3	
Tragoreas_palaeosinensis	8.9	8.9	
Tragospira_pannonica	3.55	3.55	
Triceromeryx_pachecoi	16.4	15.59	
Trilobophorus_afarensis	3.446	3.2	
Tsaganohyus_pecus	56	56	
Tsaidamotherium_hedini	12.049	9.9	
Turcocerus_gracilis	14.2	14.07	
Turcocerus_grangeri	12.85	12.85	
Turcocerus_kekemaidengensis	12.5	12.5	
Turcocerus_lishanensis	12.5	12.5	
Turcocerus_noverca	12.85	12.5	
Turiacemas_concudensis	7.6	7.6	
Turritragus_casteanensis	7.6	7.6	
Tuscomeryx_huerzeleri	7.1	7.1	
Tyrrhenotragus_gracillimus	8.9	7.6	
Udabnocerus_georgicus	9.475	9.475	
Ugandax_coryndonae	3.6	2.88	
Ugandax_gautieri	7.246	4.4	
Umbrotherium_azzarolii	7.6	7.6	
Urmiatherium_intermedium	7.2	5.767	
Urmiatherium_polaki	8.9	7.6	
Urmiatherium_rugosifrons	8.9	7.1	
Vishnutherium_iravaticum	11.2	7.246	
Wellsiana_toricornuta	5.333	5.333	
Xenochoerus_africanus	19.491	17.2	
Xenohyus_venitor	21.7	16.4	
Xiphodon_castrense	40.12	40.12	
Yumaceras_figginsi	12.11	5.91	
Yunnanochoerus_gandakasensis	8.9	8.9	
Yunnanochoerus_lufengensis	7.6	7.6	
Yunnanotherium_simplex	7.6	7.6	
Zarafa_zelteni	20.44	20.44	
Zephyreduncinus_oundagaisus	5.7	5.7	
