#Name,Category,Mass,Source
Kolpochoerus olduvaiensis,Herb,160000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hippotherium microdon,Herb,154000,http://www.helsinki.fi/science/now/
Rabaticeras lemutai,Herb,153268.266,"Vrba, E. S. (1974). Description and taxonomy of the Swartkrans member 1 (SKa) Bovidae. Transvaal Museum Memoirs, 21(1), 4-21."
Numidocapra crassicornis,Herb,153267.266,"Vrba, E. S. (1974). Description and taxonomy of the Swartkrans member 1 (SKa) Bovidae. Transvaal Museum Memoirs, 21(1), 4-21."
Rabaticeras arambourgi,Herb,153267.266,"Vrba, E. S. (1974). Description and taxonomy of the Swartkrans member 1 (SKa) Bovidae. Transvaal Museum Memoirs, 21(1), 4-21."
Sivacapra crassicornis,Herb,153265.266,"Vrba, E. S. (1974). Description and taxonomy of the Swartkrans member 1 (SKa) Bovidae. Transvaal Museum Memoirs, 21(1), 4-21."
Sivacapra sivalensis,Herb,153265.266,"Vrba, E. S. (1974). Description and taxonomy of the Swartkrans member 1 (SKa) Bovidae. Transvaal Museum Memoirs, 21(1), 4-21."
Sivacapra subhimalayaensis,Herb,153265.266,"Vrba, E. S. (1974). Description and taxonomy of the Swartkrans member 1 (SKa) Bovidae. Transvaal Museum Memoirs, 21(1), 4-21."
Pliotragus ardeus,Herb,153000,"Gentry, A. W. (2000). An Ovibovine (Mammalia, Bovidae) from the Neogene of Stratzing, Austria. Annalen des Naturhistorischen Museums in Wien. Serie A für Mineralogie und Petrographie, Geologie und Paläontologie, Anthropologie und Prähistorie, 189-199."
Pliotragus macedonicus,Herb,153000,"Gentry, A. W. (2000). An Ovibovine (Mammalia, Bovidae) from the Neogene of Stratzing, Austria. Annalen des Naturhistorischen Museums in Wien. Serie A für Mineralogie und Petrographie, Geologie und Paläontologie, Anthropologie und Prähistorie, 189-199."
Hippotragus leucophaeus,Herb,150000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hemitragus bonali,Herb,150000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Metridiochoerus andrewsi,Herb,149968,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Tapinochoerus meadowsi,Herb,149968,"Cooke, H. B. S. (1993). Undescribed suid remains from Bolt's Farm and other Transvaal cave deposits."
Eurygnathohippus albertense,Herb,149200,"Dominik Wolf, Raymond L. Bernor and Taseer Hussain (2013). ""A Systematic, Biostratigraphic, and Paleobiogeographic Reevaluation of the Siwalik Hipparionine Horse Assemblage from the Potwar Plateau, Northern Pakistan"". Palaeontographica Abteilung A 300 (1–6): 1–115."
Eurygnathohippus cornelianus,Herb,149200,"Dominik Wolf, Raymond L. Bernor and Taseer Hussain (2013). ""A Systematic, Biostratigraphic, and Paleobiogeographic Reevaluation of the Siwalik Hipparionine Horse Assemblage from the Potwar Plateau, Northern Pakistan"". Palaeontographica Abteilung A 300 (1–6): 1–115."
Eurygnathohippus libycum,Herb,149200,"Dominik Wolf, Raymond L. Bernor and Taseer Hussain (2013). ""A Systematic, Biostratigraphic, and Paleobiogeographic Reevaluation of the Siwalik Hipparionine Horse Assemblage from the Potwar Plateau, Northern Pakistan"". Palaeontographica Abteilung A 300 (1–6): 1–115."
Eurygnathohippus woldegabrieli,Herb,149200,"Dominik Wolf, Raymond L. Bernor and Taseer Hussain (2013). ""A Systematic, Biostratigraphic, and Paleobiogeographic Reevaluation of the Siwalik Hipparionine Horse Assemblage from the Potwar Plateau, Northern Pakistan"". Palaeontographica Abteilung A 300 (1–6): 1–115."
Elaphurus davidianus,Herb,149000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Elaphurus bifurcatus,Herb,149000,genus mean
Cremohipparion moldavicum,Herb,149000,http://www.helsinki.fi/science/now/
Antilospira zdanskyi,Herb,147000,genus mean
Pontoceros ambiguus,Herb,147000,genus mean
Tragospira pannonica,Herb,147000,genus mean
Gazellospira torticornis,Herb,147000,http://www.helsinki.fi/science/now/
Hipparion platyodus,Herb,147000,http://www.helsinki.fi/science/now/
Metridiochoerus hopwoodi,Herb,145984,genus mean
Metridiochoerus modestus,Herb,145984,genus mean
Metridiochoerus shawi,Herb,145984,genus mean
Leptobos stenometopon,Herb,145881.426027535,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Leptobos merlai,Herb,144543.977074593,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hipparion ptychodus,Herb,144000,http://www.helsinki.fi/science/now/
Hypsodontus pronaticornis,Herb,144000,http://www.helsinki.fi/science/now/
Rucervus duvaucelii,Herb,143000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Metridiochoerus compactus,Herb,142000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Praemegaceros dawkinsi,Herb,141406.95,genus mean
Leptobos furtivus,Herb,138000,"Meloro, C., Raia, P., & Barbera, C. (2007). Effect of predation on prey abundance and survival in Plio-Pleistocene mammalian communities. Evolutionary Ecology Research, 9(3), 505-525."
Damaliscus lunatus,Herb,136000.342,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Gallogoral meneghinii,Herb,136000,http://www.helsinki.fi/science/now/
Tragoportax rugosifrons,Herb,136000,http://www.helsinki.fi/science/now/
Capra sibirica,Herb,130000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Tragoportax spectabilis,Herb,130000,http://www.helsinki.fi/science/now/
Hipparion forstenae,Herb,129000,http://www.helsinki.fi/science/now/
Hipparion coelophyes,Herb,128000,http://www.helsinki.fi/science/now/
Hipparion fissurae,Herb,128000,"Shoemaker, L., & Clauset, A. (2014). Body mass evolution and diversification within horses (family Equidae). Ecology letters, 17(2), 211-220."
Tragoportax amalthea,Herb,127000,http://www.helsinki.fi/science/now/
Praesinomegaceros venustus,Herb,125949.946624009,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hipparion plocodus,Herb,123000,http://www.helsinki.fi/science/now/
Propotamochoerus palaeochoerus,Herb,120000,http://www.helsinki.fi/science/now/
Schizochoerus vallesiensis,Herb,120000,http://www.helsinki.fi/science/now/
Bunolistriodon lockharti,Herb,118000,http://www.helsinki.fi/science/now/
Gangicobus asinalis,Herb,115222.6106,genus mean
Menelikia lyrocera,Herb,115222.6106,genus mean
Sivacobus palaeindicus,Herb,115222.6106,genus mean
Vishnucobus patulicornis,Herb,115222.6106,genus mean
Vishnucobus sterilis,Herb,115222.6106,genus mean
Kobus ancesrocera,Herb,115222.61,genus mean
Kobus ancystrocera,Herb,115222.61,genus mean
Kobus venterae,Herb,115222.61,genus mean
Pachytragus laticeps,Herb,115000,http://www.helsinki.fi/science/now/
Axis nestii,Herb,114024.978756117,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Pseudodama nestii,Herb,114024.978756117,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Sus arvernensis,Herb,114000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Kobus sigmoidalis,Herb,113000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Aragoral mudejar,Herb,111654.489001224,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Kobus leche,Herb,110749.048,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Onotragus leche,Herb,110749.048,genus mean
Merycopotamus dissimilis,Herb,110000,genus mean
Bunolistriodon latidens,Herb,110000,http://www.helsinki.fi/science/now/
Tragoportax frolovi,Herb,110000,http://www.helsinki.fi/science/now/
Merycopotamus nanus,Herb,110000,"Wang et al., Fossil Mammals of Asia: Neogene, Biostratigraphy and Chronology, 2013"
Dama clactoniana,Herb,109900.583943253,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hipparion dongxiangense,Herb,109432,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Listriodon pentapotamiae,Herb,109097.799276505,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Cervus aristotelis,Herb,108392.6788,genus mean
Cervus leptodus,Herb,108392.6788,genus mean
Cervus palaeojavanicus,Herb,108392.6788,genus mean
Cervus peloponnesiacus,Herb,108392.6788,genus mean
Cervus problematicus,Herb,108392.6788,genus mean
Cervus punjabicus,Herb,108392.6788,genus mean
Cervus punjabiensis,Herb,108392.6788,genus mean
Cervus sivalensis,Herb,108392.6788,genus mean
Cervus stehlini,Herb,108392.6788,genus mean
Cervus triplidens,Herb,108392.6788,genus mean
Procamptoceras brivatense,Herb,107894.672222983,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Cremohipparion matthewi,Herb,105000,http://www.helsinki.fi/science/now/
Damaliscus pygargus,Herb,102000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Sus scrofa,Herb,101052.132,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Bouria anngettyae,Herb,100000,genus mean
Moldoredunca amalthea,Herb,100000,http://www.helsinki.fi/science/now/
Palaeomeryx kaupi,Herb,100000,http://www.helsinki.fi/science/now/
Tragoportax validus,Herb,100000,http://www.helsinki.fi/science/now/
Axis farnetensis,Herb,100000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Haploidoceros mediterraneus,Herb,100000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Damaliscus agelaius,Herb,96936.2684,genus mean
Damaliscus niro,Herb,96936.2684,genus mean
Damaliscus porrocurnutus,Herb,96936.2684,genus mean
Damaliscus strepsiceras,Herb,96936.2684,genus mean
Bunolistriodon adelli,Herb,96000,http://www.helsinki.fi/science/now/
Protoryx heinrichi,Herb,95000,genus mean
Naemorhedus sumatraensis,Herb,95000,"Werner, J., & Griebeler, E. M. (2011). Reproductive biology and its impact on body size: comparative analysis of mammalian, avian and dinosaurian reproduction. PLoS One, 6(12), e28442."
Xenohyus venitor,Herb,93000,http://www.helsinki.fi/science/now/
Sus verrucosus,Herb,92500,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Listriodon splendens,Herb,91000,http://www.helsinki.fi/science/now/
Ovis nivicola,Herb,90000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Miotragocerus monacensis,Herb,90000,http://www.helsinki.fi/science/now/
Bunolistriodon meidamon,Herb,88000,http://www.helsinki.fi/science/now/
Axis eurygonos,Herb,87902.2516830886,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Pseudodama farnetensis,Herb,87902.2516830886,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Capricornis sumatraensis,Herb,87500,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Dorcatherium majus,Herb,87488.8650510422,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Tragelaphus angasii,Herb,86600.42,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Rangifer tarandus,Herb,86033.9771925473,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Rusa leptodus,Herb,85211.11,genus mean
Rusa yunnanensis,Herb,85211.11,genus mean
Capra ibex,Herb,85166.507,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Neomegaloceros gracilis,Herb,85000,http://www.helsinki.fi/science/now/
Pachytragus crassicornis,Herb,85000,http://www.helsinki.fi/science/now/
Protoryx laticeps,Herb,85000,"Valli, A. M. (2005). Taphonomy of the late Miocene mammal locality of Akkasdagı, Turkey. Geodiversitas, 27(4)."
Phacochoerus africanus,Herb,82500,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Rusa rhenana,Herb,82288.972559542,"Asensio, B. A., Méndez, J. R., Prado, J. L., & Alonso, M. T. A. (2004). Patterns of body-size change in large mammals during the Late Cenozoic in the Northwestern Mediterranean. In Miscelanea en homenaje a Emiliano Aguirre (pp. 464-479). Museo Arqueológico Regional."
Tragelaphus imberbis,Herb,81575.548,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Beatragus antiquus,Herb,80000,genus mean
Cervavitus novorossiae,Herb,80000,http://www.helsinki.fi/science/now/
Cervavitus sarmaticus,Herb,80000,http://www.helsinki.fi/science/now/
Cremohipparion nikosi,Herb,80000,http://www.helsinki.fi/science/now/
Croizetoceros ramosus,Herb,80000,http://www.helsinki.fi/science/now/
Dorcatherium jourdani,Herb,80000,http://www.helsinki.fi/science/now/
Miotragocerus pannoniae,Herb,80000,http://www.helsinki.fi/science/now/
Pliocervus pentelici,Herb,80000,http://www.helsinki.fi/science/now/
Protoryx solignaci,Herb,80000,http://www.helsinki.fi/science/now/
Tragoportax gaudryi,Herb,80000,http://www.helsinki.fi/science/now/
Capricornis jianshiensis,Herb,79276.66667,genus mean
Kobus kob,Herb,78500.062,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Kolpochoerus heseloni,Herb,76725,genus mean
Kolpochoerus limnetes,Herb,76725,genus mean
Kolpochoerus majus,Herb,76725,genus mean
Kolpochoerus maroccanus,Herb,76725,genus mean
Kolpochoerus paiceae,Herb,76725,genus mean
Kolpochoerus phacochoeroides,Herb,76725,genus mean
Kolpochoerus sinuosus,Herb,76725,genus mean
Mesochoerus lategani,Herb,76725,genus mean
Mesochoerus paiceae,Herb,76725,genus mean
Notochoerus scotti,Herb,76725,genus mean
Phacochoerus antiquus,Herb,76724.75,genus mean
Ovis antiqua,Herb,76290.81188,genus mean
Ovis nahoor,Herb,76290.81188,genus mean
Ovis shantungensis,Herb,76290.81188,genus mean
Cervavitus ultimus,Herb,75000,genus mean
Cervocerus fenqii,Herb,75000,genus mean
Cervocerus ultimus,Herb,75000,genus mean
Maremmia lorenzi,Herb,75000,http://www.helsinki.fi/science/now/
Palaeoreas zouavei,Herb,75000,http://www.helsinki.fi/science/now/
Protragelaphus theodori,Herb,75000,http://www.helsinki.fi/science/now/
Tragelaphus spekei,Herb,74000,"MacFadden, B. J. (1990). Body size in mammalian paleobiology: estimation and biological implications. Cambridge University Press."
Rucervus eldii,Herb,73000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Parachleuastochoerus steinheimensis,Herb,73000,http://www.helsinki.fi/science/now/
Potamochoerus palaeindicus,Herb,72927.18,genus mean
Dama mesopotamica,Herb,72500.0000716173,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Phacochoerus aethiopicus,Herb,71000.27,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Axis lyra,Herb,70958,genus mean
Pseudodama lyra,Herb,70957.7767963389,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Sus barbatus,Herb,70500,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Cervus perrieri,Herb,70001,genus mean
Addax nasomaculatus,Herb,70000.316,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Potamochoerus porcus,Herb,70000.316,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Metacervoceros rhenanus,Herb,70000.0000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Praemegaceros cazioti,Herb,70000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Prostrepsiceros fraasi,Herb,70000,http://www.helsinki.fi/science/now/
Urmiatherium rugosifrons,Herb,70000,http://www.helsinki.fi/science/now/
Damaliscus dorcas,Herb,69500,"MacFadden, B. J. (1990). Body size in mammalian paleobiology: estimation and biological implications. Cambridge University Press."
Conohyus simorrensis,Herb,69000,http://www.helsinki.fi/science/now/
Axis axis,Herb,66172.775,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Muva sinhaleya,Herb,66172.775,genus mean
Damalavus makapaani,Herb,65000,genus mean
Cervavitus variabilis,Herb,65000,http://www.helsinki.fi/science/now/
Euprox dicranoceros,Herb,65000,http://www.helsinki.fi/science/now/
Oriomeryx willii,Herb,65000,http://www.helsinki.fi/science/now/
Protragelaphus skouzesi,Herb,65000,http://www.helsinki.fi/science/now/
Hemitragus cedrensis,Herb,64600,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hemitragus orientalis,Herb,64600,genus mean
Rusa timorensis,Herb,63000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hyotherium soemmeringi,Herb,63000,http://www.helsinki.fi/science/now/
Sus apscheronicus,Herb,62866.7,genus mean
Sus australis,Herb,62866.7,genus mean
Sus bakeri,Herb,62866.7,genus mean
Sus bijiashanensis,Herb,62866.7,genus mean
Sus brachygnathus,Herb,62866.7,genus mean
Sus choprai,Herb,62866.7,genus mean
Sus falconeri,Herb,62866.7,genus mean
Sus karnuliensis,Herb,62866.7,genus mean
Sus liuchengensis,Herb,62866.7,genus mean
Sus lydekkeri,Herb,62866.7,genus mean
Sus macrognathus,Herb,62866.7,genus mean
Sus officinalis,Herb,62866.7,genus mean
Sus sinhaleyus,Herb,62866.7,genus mean
Sus theobaldi,Herb,62866.7,genus mean
Sus xiaozhu,Herb,62866.7,genus mean
Dorcatherium peneckei,Herb,60000,http://www.helsinki.fi/science/now/
Mesembriacerus melentisi,Herb,60000,http://www.helsinki.fi/science/now/
Oioceros wegneri,Herb,60000,http://www.helsinki.fi/science/now/
Procapreolus loczyi,Herb,60000,http://www.helsinki.fi/science/now/
Prostrepsiceros libycus,Herb,60000,http://www.helsinki.fi/science/now/
Protragocerus gluten,Herb,59874.1417151966,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Sivoreas eremita,Herb,59874.1417151966,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Gazella dama,Herb,58095,http://fossilworks.org/?page=paleodb
Redunca arundinum,Herb,58000.268,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Axis lydekkeri,Herb,56740.55534,genus mean
Axis rugosus,Herb,56740.55534,genus mean
Axis shansius,Herb,56740.55534,genus mean
Pseudaxis grayi,Herb,56740.55,genus mean
Dama dama,Herb,56250,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Capra caucasica,Herb,55000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Austroportax latifrons,Herb,55000,http://www.helsinki.fi/science/now/
Protragocerus chantrei,Herb,55000,http://www.helsinki.fi/science/now/
Duboisia santeng,Herb,54000,"Rozzi, R., Winkler, D. E., De Vos, J., Schulz, E., & Palombo, M. R. (2013). The enigmatic bovid Duboisia santeng (Dubois, 1891) from the Early–Middle Pleistocene of Java: A multiproxy approach to its paleoecology. Palaeogeography, Palaeoclimatology, Palaeoecology, 377, 73-85."
Gobiocerus mongolicus,Herb,53896.6666082744,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Cervus nippon,Herb,53000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Procapreolus stenosis,Herb,52666.66,genus mean
Conohyus giganteus,Herb,52657.75134,genus mean
Aepyceros melampus,Herb,52500.084,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Gazella granti,Herb,52374,http://fossilworks.org/?page=paleodb
Gazella lydekkeri,Herb,51534.151355874,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Aepyceros shungurae,Herb,51500,genus mean
Pseudotragus parvidens,Herb,51000,http://www.helsinki.fi/science/now/
Capra cylindricornis,Herb,50000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Capra pyrenaica,Herb,50000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Amphiprox anocerus,Herb,50000,http://www.helsinki.fi/science/now/
Euprox furcatus,Herb,50000,http://www.helsinki.fi/science/now/
Graecoryx recticornis,Herb,50000,http://www.helsinki.fi/science/now/
Hypsodontus serbicus,Herb,50000,http://www.helsinki.fi/science/now/
Maremmia hauptii,Herb,50000,http://www.helsinki.fi/science/now/
Pseudotragus capricornis,Herb,50000,http://www.helsinki.fi/science/now/
Caprovis savini,Herb,49900,genus mean
Hemitragus albus,Herb,49900,genus mean
Dorcabune liuchengense,Herb,49021,genus mean
Dorcabune anthracotherioides,Herb,49020.8011363808,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
